"sex","age","student_number_simple","q1.s1","q2.s1","q3.s1","q4.s1","q5.s1","q6.s1","q7.s1","q8.s1","q1.s2","q2.s2","q3.s2","q4.s2","q5.s2","q6.s2","q7.s2","q8.s2","mse.s1","mse.s2","mse.mean"
"Vrouwelijk",24,192430,25,65,3,8,80,40,75,17,30,65,15,10,70,40,5,75,626.91875,632.01875,362.6875
"Vrouwelijk",24,194903,10,30,3,11,90,86,5,30,30,50,5,8,70,62,5,40,483.61875,308.69375,337.125
"Vrouwelijk",23,199769,15,60,25,30,50,60,10,50,20,60,40,30,80,90,15,70,219.26875,641.64375,353.1125
"Vrouwelijk",23,199861,3,68,8,4,52,54,45,12,10,64,20,12,45,24,10,31,219.64375,245.11875,144.63125
"Vrouwelijk",23,199869,50,15,15,10,80,70,10,50,50,60,35,30,67,95,5,35,622.51875,610.46875,495.5875
"Vrouwelijk",22,209957,23,84,30,43,75,87,12,64,26,74,76,8,43,85,29,64,781.19375,753.89375,618.575
"Vrouwelijk",21,210916,50,75,30,5,30,90,50,20,60,25,15,15,80,12,60,25,668.64375,898.11875,419.81875
"Vrouwelijk",22,211722,35,65,26,20,75,85,15,43,54,62,12,9,22,36,62,68,412.76875,969.39375,418.2375
"Vrouwelijk",22,212100,10,65,5,4,17,80,1,15,25,65,10,18,6,79,9,22,499.09375,561.66875,509.1
"Vrouwelijk",22,212301,20,50,30,5,30,30,10,15,60,50,10,1,15,20,40,20,225.51875,808.91875,415.15625
"Vrouwelijk",22,212401,20,60,50,3,50,70,10,35,15,80,20,5,60,85,10,40,194.96875,397.01875,243.525
"Vrouwelijk",22,212407,20,70,20,20,60,70,25,20,30,70,50,40,50,90,10,10,171.89375,496.26875,264.55
"Vrouwelijk",22,212504,75,40,15,20,50,29,70,30,80,60,50,40,75,60,60,25,963.84375,1044.01875,886.4
"Mannelijk",24,212542,16,63,1,0,50,69,9,30,30,62,3,2,45,70,10,36,277.06875,332.34375,296.33125
"Vrouwelijk",21,212549,10,60,20,2,5,60,9,10,6,42,13,12,67,56,4,43,427.41875,185.41875,135.7
"Vrouwelijk",23,213594,45,70,35,16,25,65,20,45,30,75,25,13,45,68,15,39,462.29375,284.21875,347.35
"Vrouwelijk",22,214752,45,45,25,3,30,60,20,15,36,69,34,8,76,87,4,36,292.71875,474.99375,249.325
"Vrouwelijk",22,215338,20,50,10,5,30,60,6,70,40,70,30,20,8,60,10,60,508.29375,710.81875,546.275
"Vrouwelijk",23,215420,60,80,70,20,10,90,30,40,60,70,20,10,50,85,20,40,1144.76875,629.39375,748.8
"Vrouwelijk",22,215625,75,60,20,7,50,80,10,50,90,50,20,15,50,89,5,15,858.69375,1112.46875,931.83125
"Vrouwelijk",22,215949,20,35,75,2,40,65,15,35,12,26,46,14,35,50,5,16,348.44375,173.46875,203.425
"Vrouwelijk",22,216089,30,60,30,30,50,70,40,40,60,85,40,30,45,80,70,40,232.51875,984.64375,525.76875
"Vrouwelijk",22,216178,40,70,30,4,70,80,20,20,52,62,56,30,55,88,55,60,361.61875,826.41875,447.95625
"Vrouwelijk",22,216692,33,68,40,17,65,78,95,50,18,36,68,18,17,79,30,28,941.39375,431.91875,403.90625
"Vrouwelijk",22,216753,40,90,10,4,85,95,30,40,65,75,20,7,75,90,30,20,853.36875,794.81875,777.71875
"Mannelijk",22,216918,30,30,11,2,55,82,20,26,20,58,34,12,56,80,20,45,264.74375,200.14375,173.725
"Mannelijk",22,217137,50,60,30,1,30,85,5,30,30,80,50,75,10,90,8,15,541.54375,1193.71875,638.4125
"Vrouwelijk",22,217514,10,80,30,25,55,80,45,45,25,85,45,21,82,85,35,85,374.26875,1002.36875,596.2875
"Vrouwelijk",22,218335,55,60,46,7,64,80,60,10,45,43,14,1,80,59,46,34,613.14375,402.46875,416.61875
"Vrouwelijk",23,218498,30,80,20,3,60,80,4,60,20,70,35,4,60,65,10,65,594.94375,403.11875,476.78125
"Mannelijk",18,219379,30,75,5,1,30,70,10,20,30,40,5,1,40,60,20,30,441.04375,222.79375,281.1375
"Vrouwelijk",23,230500,90,70,20,30,40,60,10,30,50,40,30,20,15,90,40,50,1085.51875,705.64375,722.925
"Vrouwelijk",23,230746,20,60,10,2,5,60,3,50,20,40,5,10,60,50,20,50,599.01875,227.76875,291.425
"Vrouwelijk",23,230845,30,65,10,7,50,80,15,30,25,70,30,15,70,80,70,60,300.81875,661.14375,329.7625
"Vrouwelijk",23,231373,25,30,30,5,60,50,12,90,50,40,30,4,80,60,5,90,680.44375,970.74375,785.75
"Vrouwelijk",23,231932,35,80,10,8,67,85,15,15,15,88,20,5,75,95,20,45,496.66875,615.16875,503.98125
"Vrouwelijk",23,232130,50,65,70,10,30,85,25,55,60,60,70,10,30,80,30,60,793.39375,901.76875,841.33125
"Mannelijk",23,232269,40,85,38,17,50,75,15,70,45,80,60,15,70,90,30,75,717.09375,987.76875,808.275
"Vrouwelijk",22,232450,60,60,5,20,20,80,60,20,50,70,75,30,10,80,60,20,856.26875,1049.01875,787.01875
"Vrouwelijk",22,233565,60,50,34,3,70,75,15,55,75,60,5,5,64,45,30,56,613.66875,895.06875,681.49375
"Vrouwelijk",22,233637,40,40,40,10,40,56,10,60,20,40,10,10,70,40,5,70,385.81875,489.89375,357.2
"Vrouwelijk",22,233823,70,55,35,10,22,80,7,50,20,55,30,21,20,70,15,42,873.14375,282.71875,487.99375
"Vrouwelijk",23,234001,40,70,10,5,7,80,20,15,70,90,40,23,60,80,15,10,664.84375,918.71875,623.5625
"Vrouwelijk",21,234251,20,68,3,12,28,86,17,20,20,58,23,21,72,78,17,30,422.64375,196.36875,225.725
"Vrouwelijk",43,251878,5,50,50,4,65,45,10,30,3,37,10,12,70,49,66,50,125.11875,397.79375,92.26875
"Mannelijk",21,252297,40,75,80,15,40,90,5,20,50,90,75,65,30,97,2,12,788.26875,1452.21875,1024.24375
"Vrouwelijk",21,253826,25,70,20,15,30,98,5,50,70,75,25,8,70,70,5,50,607.41875,858.09375,591.88125
"Vrouwelijk",21,253926,45,45,21,15,35,75,26,65,50,56,65,23,36,78,42,65,524.96875,767.31875,570.76875
"Vrouwelijk",21,254040,20,25,9,3,64,70,5,13,21,46,19,12,60,68,2,34,257.39375,168.41875,178.75
"Vrouwelijk",21,254063,30,60,20,5,54,80,15,40,30,50,3,50,60,95,20,40,267.16875,601.54375,349.98125
"Mannelijk",21,254068,50,15,20,10,10,15,30,15,30,16,8,6,30,10,20,30,803.26875,576.86875,649.1
"Vrouwelijk",21,254074,60,45,20,5,70,70,10,30,40,50,11,19,60,55,23,55,491.89375,347.61875,362.85
"Vrouwelijk",21,254096,25,35,35,2,75,80,5,60,20,45,50,3,70,80,2,30,440.06875,271.14375,315.45
"Vrouwelijk",21,254106,10,60,15,20,60,70,50,15,40,77,17,15,60,81,30,44,189.89375,464.36875,246.50625
"Vrouwelijk",21,254447,50,40,60,15,40,80,5,50,50,60,50,20,50,80,30,40,591.26875,439.51875,473.20625
"Vrouwelijk",21,254572,28,59,69,8,59,85,6,41,72,74,76,60,61,81,15,42,474.59375,1324.44375,742.76875
"Vrouwelijk",21,254603,50,85,15,10,26,75,20,5,45,90,15,50,75,85,35,20,684.11875,845.89375,621.225
"Vrouwelijk",21,255069,30,40,20,10,30,80,7,30,30,50,40,30,50,70,10,50,295.19375,277.01875,229.575
"Vrouwelijk",21,255174,50,40,30,10,40,60,10,25,30,40,50,30,50,60,20,30,303.14375,162.51875,188.3
"Vrouwelijk",21,255229,33,25,33,10,70,80,25,20,85,60,40,10,60,70,25,40,246.44375,890.89375,425.60625
"Vrouwelijk",21,255341,60,70,25,35,60,70,30,40,35,65,25,25,60,70,30,40,588.89375,259.64375,400.83125
"Vrouwelijk",21,255359,8,55,10,5,75,88,4,12,6,52,27,8,27,76,8,16,359.71875,208.69375,196.9875
"Mannelijk",21,255449,50,90,10,7,50,75,2,20,75,80,25,2,75,80,12,20,706.36875,944.49375,771.525
"Vrouwelijk",20,255475,12,27,4,3,60,70,20,30,14,60,2,1,65,60,7,15,197.24375,249.76875,172.88125
"Vrouwelijk",22,255488,20,40,10,3,60,35,5,45,15,44,7,12,45,63,1,40,275.71875,226.79375,214.35
"Vrouwelijk",21,255836,35,70,20,6,20,80,10,20,80,55,15,2,20,30,20,5,472.66875,1010.69375,581.80625
"Vrouwelijk",21,255962,30,40,20,1,10,75,8,40,61,61,21,9,26,73,23,45,479.36875,633.46875,494.6375
