"condition","comparison","statistic","original_value","reproduced_value","delta_percent","rating","note"
"Immediate","Guess 1 vs Average","Single_MSE_M",589,589.2927,0.049694397283526,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 1 vs Average","Single_MSE_SD",336,336.1419,0.0422321428571491,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 1 vs Average","Average_MSE_M",541,541.494,0.091312384473203,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 1 vs Average","Average_MSE_SD",313,313.4072,0.130095846645364,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 1 vs Average","r",0.93,0.9347874,0.514774193548387,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 1 vs Average","n",471,471,0,"完全一致 δ = 0%","完全一致"
"Immediate","Guess 1 vs Average","t",8.69,8.68783,0.0249712313003402,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 1 vs Average","dz",0.4,0.4003141,0.078524999999996,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 1 vs Average","dz_CI_lower",0.31,0.3062518,1.20909677419354,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 1 vs Average","dz_CI_upper",0.49,0.4939807,0.812387755102042,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 2 vs Average","Single_MSE_M",615,614.9216,0.0127479674796728,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 2 vs Average","Single_MSE_SD",351,350.575,0.121082621082624,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 2 vs Average","Average_MSE_M",541,541.494,0.091312384473203,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 2 vs Average","Average_MSE_SD",313,313.4072,0.130095846645364,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 2 vs Average","r",0.9,0.8965589,0.382344444444442,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 2 vs Average","n",471,471,0,"完全一致 δ = 0%","完全一致"
"Immediate","Guess 2 vs Average","t",10.26,10.26246,0.0239766081871444,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 2 vs Average","dz",0.47,0.4728692,0.610468085106387,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 2 vs Average","dz_CI_lower",0.38,0.3774088,0.681894736842109,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Immediate","Guess 2 vs Average","dz_CI_upper",0.57,0.5678751,0.372789473684208,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 1 vs Average","Single_MSE_M",517,517.4279,0.0827659574468128,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 1 vs Average","Single_MSE_SD",288,288.074,0.0256944444444487,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 1 vs Average","Average_MSE_M",467,467.4558,0.0976017130621008,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 1 vs Average","Average_MSE_SD",260,260.2884,0.110923076923086,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 1 vs Average","r",0.86,0.8610119,0.117662790697682,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 1 vs Average","n",140,140,0,"完全一致 δ = 0%","完全一致"
"Delayed","Guess 1 vs Average","t",4.02,4.021702,0.0423383084577303,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 1 vs Average","dz",0.34,0.3398959,0.0306176470588386,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 1 vs Average","dz_CI_lower",0.17,0.1689276,0.630823529411765,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 1 vs Average","dz_CI_upper",0.51,0.5097064,0.0575686274509814,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 2 vs Average","Single_MSE_M",589,588.8852,0.0194906621392098,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 2 vs Average","Single_MSE_SD",327,326.7183,0.0861467889908259,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 2 vs Average","Average_MSE_M",467,467.4558,0.0976017130621008,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 2 vs Average","Average_MSE_SD",260,260.2884,0.110923076923086,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 2 vs Average","r",0.86,0.8571413,0.332406976744185,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 2 vs Average","n",140,140,0,"完全一致 δ = 0%","完全一致"
"Delayed","Guess 2 vs Average","t",8.48,8.479422,0.00681603773585915,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 2 vs Average","dz",0.72,0.716642,0.466388888888885,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 2 vs Average","dz_CI_lower",0.53,0.5298029,0.0371886792452946,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
"Delayed","Guess 2 vs Average","dz_CI_upper",0.9,0.9014085,0.156499999999992,"偏差较小 0% < δ < 10%","主要由原文四舍五入导致"
